,REGION,MONTH,PATIENT COUNT,POSITIVE COUNT,PERCENT POSITIVE
80,Connecticut,September,174785.0,2576.0,1.4738106816946535
81,Connecticut,October,177785.0,3043.0,1.7116179655201507
82,Connecticut,November,227957.0,6114.0,2.6820847791469444
83,Connecticut,December,191893.0,7977.0,4.1570041637787725
84,Delaware,January,0.0,0.0,
85,Delaware,February,0.0,0.0,
86,Delaware,March,0.0,0.0,
87,Delaware,April,0.0,0.0,
88,Delaware,May,0.0,0.0,
89,Delaware,June,0.0,0.0,
90,Delaware,July,0.0,0.0,
91,Delaware,August,0.0,0.0,
92,Delaware,September,0.0,0.0,
93,Delaware,October,0.0,0.0,
94,Delaware,November,0.0,0.0,
95,Delaware,December,0.0,0.0,
96,District of Columbia,January,0.0,0.0,
97,District of Columbia,February,0.0,0.0,
98,District of Columbia,March,0.0,0.0,
99,District of Columbia,April,0.0,0.0,
100,District of Columbia,May,0.0,0.0,
101,District of Columbia,June,0.0,0.0,
102,District of Columbia,July,0.0,0.0,
103,District of Columbia,August,0.0,0.0,
104,District of Columbia,September,0.0,0.0,
105,District of Columbia,October,0.0,0.0,
106,District of Columbia,November,0.0,0.0,
107,District of Columbia,December,0.0,0.0,
108,Florida,January,1043918.0,44605.0,4.272845185158221
109,Florida,February,1052191.0,37107.0,3.5266410756222015
110,Florida,March,1318548.0,39722.0,3.0125562361021365
111,Florida,April,1026364.0,29360.0,2.8605835746382375
112,Florida,May,1001468.0,29064.0,2.9021396589806163
113,Florida,June,1193511.0,30356.0,2.543420211460137
114,Florida,July,943509.0,20391.0,2.1611876516281243
115,Florida,August,1227387.0,36049.0,2.9370524537085694
116,Florida,September,1006040.0,33715.0,3.351258399268419
117,Florida,October,1021948.0,43714.0,4.277517055662323
118,Florida,November,1290956.0,68139.0,5.278181440730745
119,Florida,December,1042869.0,63869.0,6.124355024456571
120,Georgia,January,311475.0,9520.0,3.056425074243519
121,Georgia,February,322413.0,9332.0,2.8944242322735123
